000753-pred,000753-true
-0.39833963,0.9985
-0.4371965,14.5984
-0.96366644,3.0303
-0.72761035,2.0532
-1.0290741,0.3512
-0.47290403,2.2734
-0.5253405,0.7064
-0.49832928,1.2829
-0.46971983,0.3643
-0.4290027,-0.0727
-0.64418447,0.252
-0.44773346,0.2957
-0.45833093,0.0693
-0.50913894,1.0022
-0.48891476,1.073
-0.40000302,0.0887
-0.35561356,1.4849
-0.36450803,2.9508
-0.32692325,1.1021
-0.38939425,0.8812
-0.32698643,0.3681
-0.78725827,-0.2578
-0.5674485,-0.0837
-1.0100509,1.1272
-0.6954192,1.1643
-0.66556597,-0.1679
-0.35518852,0.0394
